"Site Synccatalog","Site Synccatalog"
"Categories parameters","Categories parameters"
"Default category","Default category"
"Yes","Yes"
"No","No"
"Category parameters","Category parameters"
"Sales Layer synchronization data stored successfully!","Sales Layer synchronization data stored successfully!"
"Total items stored: ","Total items stored: "
"There is no information to synchronize.","There is no information to synchronize."
"The connector already exists.","The connector already exists."
"Sales Layer connection established successfully!","Sales Layer connection established successfully!"
"General Parameters","General Parameters"
"Auto Synchronization Every","Auto Synchronization Every"
"Store View","Store View"
"Synccatalog","Synccatalog"
"Products parameters","Products parameters"
"Avoid stock update","Avoid stock update"
"Product in Previous Categories","Product in Previous Categories"
"Format Configurable Attributes","Format Configurable Attributes"
"Last Update","Last Update"
"Sales Layer tools","Sales Layer tools"
"Save Connector","Save Connector"
"Synchronize Connector","Synchronize Connector"
"Delete Connector","Delete Connector"
"Edit Connector","Edit Connector"
"New Connector","New Connector"